Time (sec)	AF Correction 1 (%)	AF Learning 1 (%)	AF Sens 1 Ratio (AFR)	AVCS Exh Left (°)	AVCS Exh Right (°)	AVCS In Left (°)	AVCS In Right (°)	Accel Position (%)	Baro Pressure (psi)	Boost (psi)	CL Fuel Target (AFR)	Calculated Load (g/rev)	Comm Fuel Final (AFR)	Coolant Temp (F)	Dyn Adv Mult (DAM)	EGR Commanded (steps)	Ethanol Conc FINAL (%)	Ethanol Conc RAW (%)	Feedback Knock (°)	Fine Knock Learn (°)	Gear Position (gear)	Ign Comp IAT (°)	Ignition Timing (°)	Inj Duty Cycle (%)	Inj Timing H EOI NEW (°)	Inj Timing H SOI NEW (°)	Intake Temp (F)	Intake Temp Manifold (F)	KS Noise Cyl 1 (raw)	KS Noise Cyl 2 (raw)	KS Noise Cyl 3 (raw)	KS Noise Cyl 4 (raw)	MAF Corr Final (g/s)	MAF Freq (kHz)	Oil Temp (F)	RPM (RPM)	Req Torque (Nm)	Roughness Cyl 1 (count)	Roughness Cyl 2 (count)	Roughness Cyl 3 (count)	Roughness Cyl 4 (count)	Sns Fuel Press MONITOR (psi)	TD Prop WG Pos Corr (mm)	TGV Map Ratio (mult)	Target Boost Final Rel (psi)	Throttle Pos (%)	Wastegate Init Pos Final (mm)	Wastegate Pos Actual (mm)	Wastegate Pos Comm (mm)	Wastegate Pos Learn Corr (mm)	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 1 93 Octane Baseline]
0.020	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.05	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	43	51	41	60	9.1	2500	200	910	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.040	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.13	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	57	57	40	51	8.9	2500	200	893	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.066	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.02	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	46	48	51	41	8.9	2500	200	892	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.092	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.01	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	48	44	50	43	9.0	2500	200	901	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.114	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.09	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	55	59	43	59	8.9	2500	200	892	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.134	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.16	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	56	53	47	51	9.1	2500	200	906	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.156	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.96	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	49	50	58	54	8.9	2500	200	893	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.182	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.90	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	51	48	60	58	9.0	2500	200	897	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.204	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.88	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	57	46	54	59	8.9	2500	200	890	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.228	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.12	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	57	46	50	40	9.1	2500	200	905	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.254	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.02	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	53	46	41	59	9.0	2500	200	899	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.280	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.96	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	52	50	45	55	9.0	2500	200	895	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.300	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.98	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	50	47	55	50	9.0	2500	200	895	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.320	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.87	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	48	59	41	59	9.0	2500	200	898	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.346	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.93	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	44	43	43	40	8.9	2500	200	892	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.368	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.86	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	41	60	53	60	9.1	2500	200	907	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.394	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.82	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	41	46	54	48	9.0	2500	200	897	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.416	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.83	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	42	48	60	58	9.0	2500	200	896	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.442	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.05	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	46	42	50	46	9.1	2500	200	909	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.462	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.09	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	60	60	42	48	9.0	2500	200	899	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.482	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.98	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	50	49	54	46	9.0	2500	200	902	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.508	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-11.17	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	51	60	49	55	9.0	2500	200	897	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
0.534	0.30	1.80	14.71	0.0	0.0	30.0	30.0	0.0	14.5	-10.97	14.71	0.45	14.71	170	1.000	0	9.5	9.5	0.00	0.00	0	0.0	15.0	8.2	0.0	0.0	88	93	59	43	59	45	9.1	2500	200	909	0	0	0	0	0	2156	0.0	1.0	0.00	0.0	0.0	0.00	0.00	0.0	AP Info:[COBB AP v1.7.2 | 2022 SUBARU WRX MT | Stage 2 + 30% Ethanol]
